freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.260e+02,8.603e+00,9.752e+00,1.444e+02
1.5,8.918e+01,2.340e+01,3.396e+01,1.465e+02
3.0,2.720e+01,2.722e+01,3.710e+01,9.151e+01
4.5,2.431e+02,2.461e+01,3.860e+01,3.063e+02
6.0,9.664e+02,2.265e+01,3.769e+01,1.027e+03
7.5,1.556e+03,2.392e+01,3.625e+01,1.616e+03
9.0,2.179e+03,2.354e+01,3.451e+01,2.237e+03
10.5,2.983e+03,2.255e+01,3.366e+01,3.039e+03
12.0,3.856e+03,2.527e+01,3.541e+01,3.917e+03
13.5,4.826e+03,2.375e+01,3.442e+01,4.884e+03
15.0,5.920e+03,2.363e+01,3.761e+01,5.981e+03
16.5,7.229e+03,2.354e+01,3.867e+01,7.292e+03
18.0,8.640e+03,2.438e+01,4.011e+01,8.704e+03
19.5,1.052e+04,2.514e+01,3.790e+01,1.059e+04
21.0,1.283e+04,2.617e+01,3.695e+01,1.289e+04
22.5,1.561e+04,2.587e+01,3.655e+01,1.567e+04
24.0,1.833e+04,2.806e+01,3.876e+01,1.840e+04
25.5,1.961e+04,3.151e+01,3.845e+01,1.968e+04
27.0,1.887e+04,3.246e+01,4.530e+01,1.894e+04
28.4,1.714e+04,2.884e+01,5.833e+01,1.723e+04
29.9,1.675e+04,2.829e+01,6.413e+01,1.684e+04
31.4,1.722e+04,2.743e+01,5.987e+01,1.730e+04
32.9,1.809e+04,2.847e+01,7.910e+01,1.819e+04
34.4,1.968e+04,2.898e+01,8.126e+01,1.979e+04
35.9,2.111e+04,2.797e+01,7.409e+01,2.122e+04
37.4,2.155e+04,3.221e+01,9.146e+01,2.168e+04
38.9,2.266e+04,3.236e+01,1.287e+02,2.282e+04
40.4,2.168e+04,3.183e+01,1.575e+02,2.187e+04
41.9,2.109e+04,3.638e+01,2.013e+02,2.133e+04
43.4,2.373e+04,3.853e+01,2.730e+02,2.404e+04
44.9,2.626e+04,4.531e+01,3.488e+02,2.665e+04
46.4,2.977e+04,7.223e+01,5.380e+02,3.038e+04
47.9,3.391e+04,1.243e+02,8.390e+02,3.487e+04
49.4,3.638e+04,1.549e+02,1.042e+03,3.758e+04
50.9,4.090e+04,2.127e+02,1.311e+03,4.242e+04
52.4,4.761e+04,2.747e+02,1.498e+03,4.938e+04
53.9,5.389e+04,3.213e+02,1.593e+03,5.580e+04
55.4,5.986e+04,4.198e+02,2.049e+03,6.233e+04
56.9,6.930e+04,5.146e+02,2.718e+03,7.253e+04
58.4,8.073e+04,6.366e+02,3.282e+03,8.465e+04
59.9,8.745e+04,7.754e+02,3.653e+03,9.188e+04
61.4,8.928e+04,7.453e+02,3.184e+03,9.321e+04
62.9,9.538e+04,5.924e+02,2.727e+03,9.870e+04
64.4,1.133e+05,3.999e+02,2.590e+03,1.163e+05
65.9,1.432e+05,3.419e+02,2.107e+03,1.457e+05
67.4,1.766e+05,9.152e+02,2.530e+03,1.800e+05
68.9,2.013e+05,1.322e+03,2.969e+03,2.056e+05
70.4,2.137e+05,1.555e+03,2.893e+03,2.182e+05
71.9,2.509e+05,2.307e+03,3.106e+03,2.563e+05
73.4,3.186e+05,3.184e+03,3.169e+03,3.249e+05
74.9,3.384e+05,3.775e+03,2.607e+03,3.448e+05
76.4,2.981e+05,4.180e+03,2.583e+03,3.048e+05
77.9,2.643e+05,5.045e+03,7.712e+03,2.770e+05
79.4,3.339e+05,7.458e+03,1.022e+04,3.516e+05
80.9,3.907e+05,9.317e+03,8.528e+03,4.086e+05
82.4,3.802e+05,1.123e+04,9.670e+03,4.011e+05
83.8,3.220e+05,1.444e+04,1.223e+04,3.486e+05
85.3,2.509e+05,1.612e+04,1.318e+04,2.802e+05
86.8,1.920e+05,1.446e+04,1.227e+04,2.187e+05
88.3,1.428e+05,1.193e+04,1.142e+04,1.662e+05
89.8,1.120e+05,1.099e+04,1.156e+04,1.345e+05
91.3,9.731e+04,1.025e+04,1.121e+04,1.188e+05
92.8,9.233e+04,8.911e+03,9.577e+03,1.108e+05
94.3,8.954e+04,8.536e+03,7.589e+03,1.057e+05
95.8,8.791e+04,1.428e+04,9.197e+03,1.114e+05
97.3,8.642e+04,2.416e+04,1.393e+04,1.245e+05
98.8,8.457e+04,3.048e+04,1.747e+04,1.325e+05
100.3,8.249e+04,2.869e+04,1.649e+04,1.277e+05
101.8,8.022e+04,2.095e+04,1.103e+04,1.122e+05
103.3,7.526e+04,1.308e+04,5.961e+03,9.431e+04
104.8,6.664e+04,8.806e+03,3.906e+03,7.936e+04
106.3,5.532e+04,6.798e+03,3.048e+03,6.517e+04
107.8,4.417e+04,6.978e+03,3.093e+03,5.424e+04
109.3,3.519e+04,1.189e+04,5.141e+03,5.222e+04
110.8,2.907e+04,1.770e+04,7.892e+03,5.467e+04
112.3,2.841e+04,1.898e+04,8.515e+03,5.591e+04
113.8,3.162e+04,2.076e+04,8.573e+03,6.096e+04
115.3,3.839e+04,2.171e+04,8.996e+03,6.910e+04
116.8,5.364e+04,2.006e+04,9.567e+03,8.327e+04
118.3,6.948e+04,1.664e+04,9.065e+03,9.519e+04
119.8,7.626e+04,1.442e+04,6.718e+03,9.740e+04
121.3,8.057e+04,1.212e+04,4.247e+03,9.693e+04
122.8,8.350e+04,1.308e+04,3.087e+03,9.967e+04
124.3,8.134e+04,1.464e+04,2.381e+03,9.836e+04
125.8,7.698e+04,1.423e+04,1.854e+03,9.306e+04
127.3,7.237e+04,1.292e+04,1.541e+03,8.683e+04
128.8,6.827e+04,1.249e+04,1.568e+03,8.233e+04
130.3,6.320e+04,1.256e+04,1.705e+03,7.746e+04
131.8,5.731e+04,1.224e+04,1.614e+03,7.116e+04
133.3,2.484e+04,6.471e+03,1.136e+03,3.244e+04
134.8,4.322e+03,2.422e+03,8.111e+02,7.555e+03
136.3,3.598e+03,2.171e+03,8.032e+02,6.572e+03
137.8,3.689e+03,2.003e+03,9.139e+02,6.606e+03
139.2,3.402e+03,1.902e+03,9.345e+02,6.239e+03
140.7,3.361e+03,1.898e+03,9.638e+02,6.224e+03
142.2,3.534e+03,1.684e+03,9.696e+02,6.188e+03
143.7,3.837e+03,1.717e+03,1.061e+03,6.615e+03
145.2,4.254e+03,1.820e+03,1.289e+03,7.363e+03
146.7,4.748e+03,1.781e+03,1.461e+03,7.990e+03
148.2,4.735e+03,1.905e+03,1.517e+03,8.156e+03
149.7,5.803e+03,1.986e+03,1.646e+03,9.434e+03
151.2,6.752e+03,1.883e+03,1.891e+03,1.053e+04
152.7,8.062e+03,1.686e+03,2.118e+03,1.187e+04
154.2,8.742e+03,1.449e+03,2.030e+03,1.222e+04
155.7,1.057e+04,1.271e+03,1.956e+03,1.380e+04
157.2,1.424e+04,1.212e+03,2.711e+03,1.816e+04
158.7,2.251e+04,1.221e+03,4.158e+03,2.789e+04
160.2,2.711e+04,1.380e+03,5.014e+03,3.351e+04
161.7,2.965e+04,1.537e+03,5.496e+03,3.668e+04
163.2,3.605e+04,1.584e+03,6.548e+03,4.418e+04
164.7,4.668e+04,1.682e+03,8.174e+03,5.654e+04
166.2,5.961e+04,1.643e+03,1.019e+04,7.144e+04
167.7,6.589e+04,1.602e+03,1.102e+04,7.851e+04
169.2,6.403e+04,1.276e+03,1.053e+04,7.584e+04
170.7,6.131e+04,8.317e+02,9.319e+03,7.146e+04
172.2,4.834e+04,4.663e+02,6.146e+03,5.496e+04
173.7,4.196e+04,4.811e+02,4.528e+03,4.697e+04
175.2,3.888e+04,5.745e+02,4.052e+03,4.351e+04
176.7,4.251e+04,4.895e+02,4.517e+03,4.752e+04
178.2,4.541e+04,4.702e+02,4.867e+03,5.074e+04
179.7,4.939e+04,1.039e+03,5.328e+03,5.576e+04
181.2,3.956e+04,9.550e+02,4.909e+03,4.542e+04
182.7,2.602e+04,4.562e+02,3.875e+03,3.035e+04
184.2,2.074e+04,3.025e+02,3.296e+03,2.434e+04
185.7,1.785e+04,2.399e+02,2.700e+03,2.079e+04
187.2,1.778e+04,2.679e+02,2.455e+03,2.050e+04
188.7,1.723e+04,3.132e+02,2.385e+03,1.993e+04
190.2,1.677e+04,3.742e+02,2.428e+03,1.957e+04
191.7,1.672e+04,4.214e+02,2.512e+03,1.965e+04
193.2,1.614e+04,4.233e+02,2.626e+03,1.919e+04
194.6,1.515e+04,5.288e+02,2.644e+03,1.833e+04
196.1,1.332e+04,7.158e+02,2.554e+03,1.659e+04
197.6,1.186e+04,9.540e+02,2.403e+03,1.522e+04
199.1,1.107e+04,1.288e+03,2.406e+03,1.476e+04
