freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.476e+01,1.535e+02,3.255e+02,5.038e+02
1.5,4.791e+01,1.213e+02,2.215e+02,3.907e+02
3.0,4.830e+01,4.939e+01,5.119e+01,1.489e+02
4.5,4.803e+01,5.004e+01,2.929e+02,3.910e+02
6.0,5.018e+01,5.337e+01,1.128e+03,1.231e+03
7.5,4.624e+01,5.456e+01,1.845e+03,1.946e+03
9.0,4.066e+01,5.423e+01,2.624e+03,2.719e+03
10.5,4.510e+01,5.104e+01,3.627e+03,3.723e+03
12.0,4.223e+01,5.130e+01,4.806e+03,4.900e+03
13.5,4.706e+01,5.604e+01,6.225e+03,6.328e+03
15.0,4.812e+01,5.485e+01,7.900e+03,8.003e+03
16.5,4.703e+01,5.083e+01,9.938e+03,1.004e+04
18.0,4.418e+01,5.439e+01,1.274e+04,1.284e+04
19.5,4.302e+01,5.882e+01,1.640e+04,1.650e+04
21.0,3.964e+01,6.279e+01,2.026e+04,2.036e+04
22.5,3.989e+01,6.770e+01,2.503e+04,2.513e+04
24.0,4.446e+01,9.053e+01,3.146e+04,3.159e+04
25.5,5.120e+01,1.073e+02,3.931e+04,3.947e+04
27.0,5.706e+01,1.035e+02,4.784e+04,4.800e+04
28.5,8.572e+01,1.109e+02,5.845e+04,5.865e+04
30.0,1.331e+02,1.527e+02,7.006e+04,7.034e+04
31.5,1.395e+02,2.107e+02,7.965e+04,8.000e+04
33.0,9.657e+01,2.444e+02,8.162e+04,8.196e+04
34.5,7.954e+01,3.175e+02,8.415e+04,8.455e+04
36.0,1.065e+02,4.036e+02,7.907e+04,7.958e+04
37.5,1.354e+02,4.939e+02,7.648e+04,7.711e+04
39.0,1.552e+02,5.972e+02,8.416e+04,8.491e+04
40.5,1.665e+02,7.539e+02,9.926e+04,1.002e+05
42.0,1.766e+02,9.671e+02,1.208e+05,1.220e+05
43.5,1.798e+02,1.109e+03,1.496e+05,1.509e+05
45.0,1.648e+02,1.303e+03,1.895e+05,1.910e+05
46.5,2.093e+02,2.400e+03,2.933e+05,2.959e+05
48.0,6.469e+02,4.549e+03,4.254e+05,4.306e+05
49.5,1.183e+03,4.470e+03,4.128e+05,4.185e+05
51.0,1.436e+03,3.657e+03,3.226e+05,3.277e+05
52.5,1.680e+03,3.831e+03,2.729e+05,2.785e+05
54.0,1.823e+03,4.051e+03,2.406e+05,2.464e+05
55.5,1.692e+03,3.603e+03,2.102e+05,2.155e+05
57.0,1.710e+03,2.976e+03,1.791e+05,1.838e+05
58.5,1.790e+03,2.908e+03,1.489e+05,1.536e+05
60.0,2.156e+03,3.556e+03,1.208e+05,1.265e+05
61.5,2.807e+03,5.003e+03,9.790e+04,1.057e+05
63.0,3.909e+03,9.004e+03,8.444e+04,9.735e+04
64.5,7.635e+03,1.714e+04,8.777e+04,1.125e+05
66.0,9.122e+03,1.743e+04,8.591e+04,1.125e+05
67.5,9.756e+03,1.165e+04,7.084e+04,9.225e+04
69.0,1.492e+04,1.360e+04,6.615e+04,9.467e+04
70.5,2.473e+04,2.966e+04,8.379e+04,1.382e+05
72.0,4.416e+04,5.850e+04,1.328e+05,2.355e+05
73.5,8.219e+04,1.042e+05,2.285e+05,4.148e+05
75.0,1.089e+05,1.507e+05,3.203e+05,5.798e+05
76.5,9.871e+04,1.898e+05,3.860e+05,6.745e+05
78.0,6.506e+04,2.208e+05,4.487e+05,7.345e+05
79.5,3.851e+04,2.345e+05,4.721e+05,7.451e+05
